:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Wavelength	тип растворителя	200,0	201,0	202,0	203,0	204,0	205,0	206,0	207,0	208,0	209,0	210,0	211,0	212,0	213,0	214,0	215,0	216,0	217,0	218,0	219,0	220,0	221,0	222,0	223,0	224,0	225,0	226,0	227,0	228,0	229,0	230,0	231,0	232,0	233,0	234,0	235,0	236,0	237,0	238,0	239,0	240,0	241,0	242,0	243,0	244,0	245,0	246,0	247,0	248,0	249,0	250,0	251,0	252,0	253,0	254,0	255,0	256,0	257,0	258,0	259,0	260,0	261,0	262,0	263,0	264,0	265,0	266,0	267,0	268,0	269,0	270,0	271,0	272,0	273,0	274,0	275,0	276,0	277,0	278,0	279,0	280,0	281,0	282,0	283,0	284,0	285,0	286,0	287,0	288,0	289,0	290,0	291,0	292,0	293,0	294,0	295,0	296,0	297,0	298,0	299,0	300,0	
Black	Dot	W1	1	-0,423043617	-0,406344728	-0,367596092	-0,347471316	-0,370943907	-0,37364519	-0,390661785	-0,370831759	-0,365083511	-0,347984769	-0,356123111	-0,368481659	-0,373150598	-0,363500561	-0,358635794	-0,344016156	-0,337099381	-0,318128514	-0,344788455	-0,405078861	-0,527806097	-0,433791829	-0,393292042	-0,560701011	-0,562235089	-0,55702408	-0,544020175	-0,463023805	-0,470860919	-0,546481426	-0,621217191	-0,551380359	-0,683394723	-0,685995418	-0,639962573	-0,519508592	-0,479351871	-0,454450308	-0,419854829	-0,414544318	-0,426321638	-0,425434888	-0,418231604	-0,420223346	-0,436404376	-0,459103216	-0,475436013	-0,499196106	-0,54030515	-0,604857462	-0,744832044	-0,768508257	-0,765353036	-0,761497148	-0,757200227	-0,751459036	-0,745064022	-0,742263733	-0,743456279	-0,744588105	-0,746048212	-0,747666243	-0,750050451	-0,752184679	-0,754617397	-0,757829318	-0,761133288	-0,763448856	-0,76499986	-0,766184814	-0,767085221	-0,768218092	-0,768166124	-0,768224438	-0,76863219	-0,769502794	-0,769536786	-0,772074571	-0,774281985	-0,776856195	-0,780099779	-0,784379623	-0,78785735	-0,790326197	-0,794277801	-0,801085834	-0,805731108	-0,810400441	-0,811877462	-0,810389063	-0,808794755	-0,806134072	-0,803550458	-0,800221776	-0,797001498	-0,796614151	-0,795310156	-0,793673277	-0,792295705	-0,792737876	-0,792660006	
Black	Dot	W2	1	-0,412425421	-0,383993438	-0,353251585	-0,34002485	-0,344707422	-0,337217023	-0,356516267	-0,325598903	-0,291806522	-0,263067131	-0,250799158	-0,268910302	-0,299168377	-0,280920615	-0,259008601	-0,232634517	-0,221180732	-0,202490708	-0,227141813	-0,276022555	-0,437122347	-0,363215911	-0,317386436	-0,411617818	-0,404343543	-0,405095961	-0,387949042	-0,304063131	-0,312735826	-0,386858772	-0,461621448	-0,443839048	-0,542886189	-0,563190048	-0,55338314	-0,464521842	-0,43161219	-0,413308976	-0,382546697	-0,377059281	-0,386124641	-0,376005813	-0,365616334	-0,36459993	-0,376181447	-0,394452515	-0,407875093	-0,425423553	-0,456331647	-0,50602475	-0,610837944	-0,626671621	-0,622168251	-0,616765392	-0,610437819	-0,603665095	-0,596510906	-0,592984001	-0,592528288	-0,592442949	-0,593000403	-0,59444247	-0,595463799	-0,597076451	-0,598804814	-0,601274068	-0,602675384	-0,604861031	-0,606694223	-0,608379659	-0,61050089	-0,612902805	-0,614752867	-0,61624942	-0,617742116	-0,620741172	-0,624532931	-0,629291583	-0,633034787	-0,637084632	-0,642123503	-0,648573015	-0,653055347	-0,656968594	-0,662289592	-0,669185626	-0,675068955	-0,681788649	-0,684301705	-0,683873253	-0,683586071	-0,682036983	-0,679634662	-0,676373632	-0,673435896	-0,673088594	-0,671174677	-0,669161428	-0,667588237	-0,668291388	-0,668127198	
Black	Dot	W3	1	-0,411477368	-0,383799079	-0,341058753	-0,311790335	-0,303464075	-0,301717619	-0,311059386	-0,288806628	-0,325944466	-0,294263664	-0,250799158	-0,250439448	-0,242435897	-0,220558289	-0,226866309	-0,188909099	-0,151133634	-0,118286841	-0,152040882	-0,206487908	-0,392428213	-0,319260735	-0,26721521	-0,327157792	-0,294772254	-0,258061232	-0,222138311	-0,124430441	-0,126944805	-0,198567209	-0,271964027	-0,313631338	-0,368620535	-0,408951188	-0,448518131	-0,401171412	-0,375889549	-0,365784841	-0,341206982	-0,336655054	-0,343533237	-0,324209968	-0,310410161	-0,306506749	-0,31430534	-0,328893069	-0,34045405	-0,352117915	-0,372718545	-0,407621745	-0,475057255	-0,479988631	-0,472656697	-0,464506216	-0,454502759	-0,445056963	-0,435793391	-0,429721104	-0,42561051	-0,421129899	-0,417158239	-0,414301006	-0,410383341	-0,408267829	-0,406356412	-0,405467215	-0,401253675	-0,399353731	-0,398621845	-0,397972786	-0,398199435	-0,399885244	-0,401891972	-0,403102068	-0,404496838	-0,406600238	-0,410793483	-0,41535117	-0,419532422	-0,425337679	-0,432381044	-0,440243831	-0,444598641	-0,447606483	-0,454208536	-0,462320553	-0,468027087	-0,475230316	-0,478103678	-0,477718008	-0,477996503	-0,478200912	-0,474738806	-0,471075809	-0,467493226	-0,46818838	-0,465481589	-0,463472737	-0,461603762	-0,461091145	-0,459502649	
Black	Dot	W4	1	-0,569707437	-0,536370925	-0,50847965	-0,488747319	-0,524177231	-0,551348603	-0,569000759	-0,537154485	-0,515007797	-0,505656776	-0,522246653	-0,499857135	-0,44432175	-0,447017395	-0,464941904	-0,468397244	-0,468980091	-0,449238984	-0,48138258	-0,541923048	-0,621728552	-0,514066776	-0,475469051	-0,715305804	-0,74349277	-0,756021953	-0,760191759	-0,685188574	-0,694811841	-0,772674258	-0,848757215	-0,700780056	-0,875854151	-0,849605754	-0,744550528	-0,579211033	-0,527486749	-0,491567698	-0,446412076	-0,434248842	-0,440035054	-0,433627552	-0,417534053	-0,413565717	-0,42294278	-0,437163521	-0,442564758	-0,456706851	-0,487145958	-0,538467662	-0,648951821	-0,662211553	-0,655467039	-0,650296626	-0,643953272	-0,638270505	-0,634109958	-0,636445189	-0,641667634	-0,647949975	-0,652835584	-0,660287281	-0,667463062	-0,676574818	-0,692822038	-0,710005524	-0,726947035	-0,742335092	-0,76026017	-0,775270565	-0,791101223	-0,806686275	-0,821381348	-0,831308408	-0,840507273	-0,848621236	-0,85475009	-0,857744364	-0,858657374	-0,85858309	-0,856033032	-0,855516418	-0,853637021	-0,845814151	-0,833263642	-0,816743052	-0,79468247	-0,764119682	-0,740177909	-0,717140358	-0,697498147	-0,678868546	-0,667134384	-0,657963773	-0,651697503	-0,64674428	-0,643589015	-0,641085227	-0,640289089	-0,639864526	-0,639240722	
Black	Dot	W5	1	-0,558141188	-0,561443241	-0,533685	-0,508707984	-0,517133194	-0,508625483	-0,524601014	-0,495492644	-0,475868752	-0,497773176	-0,522246653	-0,524933459	-0,518687299	-0,501892237	-0,49012699	-0,472385711	-0,447749001	-0,417479305	-0,455717353	-0,528572395	-0,604369091	-0,492501912	-0,443787652	-0,626551201	-0,682468594	-0,719671054	-0,712919072	-0,625073401	-0,628270513	-0,712178001	-0,801831668	-0,671164834	-0,836178574	-0,814657961	-0,719477124	-0,563907278	-0,514919515	-0,480259035	-0,435661191	-0,42336823	-0,428570929	-0,420064141	-0,403583035	-0,398532361	-0,40652908	-0,419637728	-0,424520537	-0,437407702	-0,464801077	-0,511396093	-0,612029002	-0,622794538	-0,614842518	-0,609580127	-0,603381933	-0,597897526	-0,593930579	-0,597141158	-0,601108174	-0,605221545	-0,609282085	-0,615562503	-0,622569404	-0,631640959	-0,64735831	-0,66218173	-0,677515561	-0,693069643	-0,710493428	-0,725059834	-0,74162826	-0,756196785	-0,769604373	-0,78017216	-0,790527911	-0,799349871	-0,805787749	-0,809525847	-0,811574975	-0,813076069	-0,811121291	-0,809785621	-0,80870302	-0,80198333	-0,79052013	-0,774516008	-0,753370172	-0,72417208	-0,700619534	-0,677320641	-0,657307705	-0,63873502	-0,6269161	-0,617796808	-0,611653095	-0,606935096	-0,603409898	-0,60019163	-0,599340369	-0,597540086	-0,596231969	
Blue	Fill triang	W1.H	2	-0,181858899	-0,162618493	-0,155399838	-0,14869205	-0,179938211	-0,193774663	-0,218665632	-0,20688971	-0,211897638	-0,197182757	-0,214528658	-0,225974741	-0,225952812	-0,216275374	-0,209890725	-0,191568077	-0,180888153	-0,161610301	-0,184940602	-0,235414321	-0,410435415	-0,345056026	-0,303221715	-0,394439508	-0,385514522	-0,385988436	-0,375358829	-0,297410068	-0,307727339	-0,383943289	-0,459421813	-0,442019118	-0,540255764	-0,562799569	-0,553106086	-0,463009262	-0,429320053	-0,411019492	-0,379858975	-0,372746843	-0,381045598	-0,368268296	-0,35485412	-0,352143721	-0,362837936	-0,379263495	-0,390390383	-0,406435681	-0,435968973	-0,482605694	-0,581061477	-0,60243985	-0,612844591	-0,618134013	-0,62137444	-0,62457253	-0,631898249	-0,640224422	-0,649857525	-0,660329239	-0,667082055	-0,673124948	-0,679321764	-0,687808283	-0,695470411	-0,703689174	-0,710777861	-0,716998575	-0,720920745	-0,723625242	-0,727698979	-0,730711614	-0,731730476	-0,733815	-0,736264603	-0,739655717	-0,744114032	-0,749135665	-0,753304678	-0,757817544	-0,761116466	-0,766364461	-0,771180813	-0,774472496	-0,778307697	-0,785428615	-0,789878715	-0,791888137	-0,791603796	-0,789219087	-0,7850927	-0,778146218	-0,77365849	-0,770096552	-0,766110098	-0,762659259	-0,761727611	-0,760714258	-0,758792206	-0,757362225	-0,757354313	
Blue	Fill triang	W2.H	2	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	-0,661370306	-0,541512966	-0,514611258	-0,789540645	-0,812003182	-0,809616228	-0,797249744	-0,710375168	-0,71460729	-0,790653065	-0,863177045	-0,711037843	-0,890102286	-0,865420118	-0,763390213	-0,595582493	-0,544875374	-0,510091704	-0,463434311	-0,448579405	-0,45570753	-0,455019509	-0,444738539	-0,445135764	-0,461438221	-0,484807712	-0,50159314	-0,529389936	-0,577066083	-0,651910427	-0,816891094	-0,86220444	-0,875572022	-0,887410354	-0,903257047	-0,915474263	-0,923843827	-0,925178645	-0,930653787	-0,934270387	-0,937357974	-0,940645374	-0,946142561	-0,951362653	-0,957659289	-0,965366536	-0,973180454	-0,978809245	-0,982551617	-0,985677438	-0,988032437	-0,989410142	-0,988697682	-0,988062514	-0,987589396	-0,98696007	-0,986100984	-0,986951265	-0,987318188	-0,988138791	-0,988916224	-0,990861099	-0,992608158	-0,99455917	-0,994373805	-0,991344766	-0,989234574	-0,986754489	-0,983461912	-0,978236732	-0,972132833	-0,964027816	-0,958445203	-0,95252152	-0,946881997	-0,941800588	-0,93863566	-0,936495691	-0,934375357	-0,934872189	-0,934524699	
Blue	Fill triang	W3.H	2	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,130165152	-0,169031911	-0,646860906	-0,500240499	-0,427027867	-0,553952389	-0,653431069	-0,71035031	-0,76042931	-0,710375168	-0,71460729	-0,790653065	-0,863177045	-0,711037843	-0,872346917	-0,818953221	-0,703685036	-0,539083163	-0,476980695	-0,439117703	-0,393681542	-0,375201615	-0,376184228	-0,355706211	-0,336618146	-0,33077488	-0,337331754	-0,350702944	-0,360176803	-0,376397489	-0,402992254	-0,447584537	-0,540267717	-0,573684814	-0,588536476	-0,601368396	-0,616082527	-0,628537733	-0,643325412	-0,663277748	-0,692366959	-0,712641616	-0,730173572	-0,746423888	-0,766567929	-0,784156848	-0,801846706	-0,819188147	-0,835511488	-0,843681158	-0,846522523	-0,844130996	-0,840574187	-0,835537412	-0,829531427	-0,822706048	-0,814803601	-0,804087502	-0,790251622	-0,773478994	-0,758898627	-0,742958109	-0,723612847	-0,697537302	-0,677606914	-0,660698877	-0,642561817	-0,632652116	-0,623188394	-0,612123928	-0,59875672	-0,582559795	-0,565075794	-0,544210002	-0,524739917	-0,506221903	-0,488087493	-0,472286384	-0,460084394	-0,451265693	-0,444231577	-0,440876487	-0,437677312	
